timestamp,machine_id,machine_type,machine_age_hours,hours_since_last_maintenance,last_maintenance_type,vibration_rms_mm_s,bearing_temperature_C,motor_current_A,hydraulic_pressure_bar,oil_condition_index,coolant_flow_L_min,noise_level_dB,torque_Nm,speed_deviation_pct,power_factor,insulation_resistance_MOhm,cumulative_load_cycles,anomaly_events_last_30d,degradation_index,rul_hours,failure_mode,alert_level
2023-01-01 01:00:00,Blast_Furnace_Blower_01,Blast Furnace Blower,7353.7,901.0,Alignment Check,2.398,79.1,462.5,183.0,83.1,108.1,72.9,243.9,1.776,0.875,446.1,131656,3,0.2078,22117.0,Normal,Normal
2023-01-01 02:00:00,Cold_Rolling_Mill_02,Cold Rolling Mill,28487.9,274.0,Full Overhaul,7.752,72.9,868.1,157.6,34.9,78.0,84.7,495.5,3.343,0.853,267.5,233088,6,0.8106,7720.2,Electrical Fault,Warning
2023-01-01 02:00:00,Hydraulic_Press_02,Hydraulic Press,26024.8,1127.0,Alignment Check,6.798,84.0,245.5,168.1,51.7,88.1,81.3,130.6,2.832,0.861,252.9,470516,5,0.7079,0.0,Bearing Failure,Immediate Action
2023-01-01 04:00:00,Electric_Arc_Furnace_03,Electric Arc Furnace,23189.5,925.0,Electrical Inspection,6.524,119.0,1387.5,177.8,44.0,87.3,81.2,725.9,1.25,0.852,273.2,245859,3,0.708,597.2,Bearing Failure,Immediate Action
2023-01-01 10:00:00,Ladle_Crane_02,Ladle Crane,8348.1,669.0,Seal Replacement,2.415,47.7,340.9,183.9,87.8,114.8,75.5,176.8,0.194,0.927,454.6,68482,0,0.2176,43162.2,Normal,Normal
2023-01-01 11:00:00,Blast_Furnace_Blower_02,Blast Furnace Blower,3515.2,1461.0,Bearing Replacement,1.173,71.3,459.3,197.9,96.4,122.0,76.3,242.8,1.861,0.942,494.6,61929,0,0.0563,27660.5,Normal,Normal
2023-01-01 12:00:00,Hydraulic_Press_02,Hydraulic Press,20208.0,596.0,Full Overhaul,6.296,75.0,248.1,175.1,51.4,85.8,84.5,119.8,0.296,0.832,336.1,352958,1,0.6611,120.5,Lubrication Failure,Immediate Action
2023-01-01 12:00:00,Cold_Rolling_Mill_03,Cold Rolling Mill,19423.4,1806.0,Seal Replacement,5.729,72.6,832.2,184.2,44.5,96.2,82.5,434.9,0.05,0.857,294.4,158629,3,0.5895,15567.3,Bearing Failure,Normal
2023-01-01 16:00:00,Blast_Furnace_Blower_01,Blast Furnace Blower,6674.6,1745.0,Electrical Inspection,2.48,80.1,434.3,188.1,78.6,108.5,74.7,228.7,1.805,0.923,448.8,59133,0,0.1887,23031.9,Normal,Normal
2023-01-01 18:00:00,Annealing_Furnace_02,Annealing Furnace,2063.0,973.0,Electrical Inspection,0.844,115.6,380.0,195.5,100.0,114.5,72.2,188.9,0.477,0.945,507.5,39316,0,0.0,31072.5,Normal,Normal
2023-01-01 18:00:00,Cold_Rolling_Mill_01,Cold Rolling Mill,2916.7,1816.0,Electrical Inspection,1.248,68.7,781.9,202.3,100.0,116.2,76.0,375.0,0.794,0.947,547.6,55017,0,0.0716,32026.8,Normal,Normal
2023-01-01 18:00:00,Pickling_Line_02,Pickling Line,34747.7,1923.0,Alignment Check,9.56,66.5,346.1,155.0,12.1,72.3,87.9,184.5,6.225,0.808,215.8,495734,3,0.9917,0.0,Mechanical Wear,Immediate Action
2023-01-01 21:00:00,Ladle_Crane_02,Ladle Crane,27447.1,73.0,Bearing Replacement,7.807,62.7,405.7,171.8,31.5,78.2,79.5,209.3,0.926,0.822,202.0,500896,1,0.8574,22476.8,Electrical Fault,Normal
2023-01-01 22:00:00,Ladle_Crane_02,Ladle Crane,32277.4,1705.0,Bearing Replacement,7.859,62.3,385.6,168.4,25.7,80.5,89.4,208.2,6.555,0.836,217.8,373690,4,0.8347,17962.9,Lubrication Failure,Normal
2023-01-02 01:00:00,Pickling_Line_03,Pickling Line,6907.4,805.0,Electrical Inspection,3.737,61.6,293.1,180.2,74.6,102.3,76.1,156.4,3.137,0.922,408.6,68087,0,0.2754,20390.5,Normal,Normal
2023-01-02 02:00:00,Cold_Rolling_Mill_03,Cold Rolling Mill,33623.8,1990.0,Alignment Check,9.09,83.2,943.6,164.0,11.9,73.9,86.8,490.3,1.024,0.781,191.5,662815,8,0.9825,2733.3,Electrical Fault,Critical
2023-01-02 04:00:00,Continuous_Caster_01,Continuous Caster,5078.6,686.0,Bearing Replacement,1.402,84.5,637.6,198.9,92.6,122.7,73.7,296.7,0.075,0.961,518.9,75856,0,0.0847,30193.4,Normal,Normal
2023-01-02 04:00:00,Blast_Furnace_Blower_02,Blast Furnace Blower,17867.0,1666.0,Full Overhaul,5.274,83.0,512.0,176.5,54.6,88.3,80.5,273.3,2.649,0.854,348.5,206460,2,0.5566,10774.6,Lubrication Failure,Normal
2023-01-02 08:00:00,Pickling_Line_03,Pickling Line,29056.4,441.0,Lubrication,7.951,72.0,343.6,164.2,33.6,83.6,83.9,181.8,2.957,0.834,222.5,412839,3,0.818,0.0,Bearing Failure,Immediate Action
2023-01-02 13:00:00,Rolling_Mill_03,Rolling Mill,12308.1,1860.0,Seal Replacement,2.923,97.2,896.3,197.3,77.1,108.5,73.0,403.8,0.488,0.905,413.2,187254,2,0.2686,28428.5,Normal,Normal
2023-01-02 20:00:00,Pickling_Line_01,Pickling Line,14926.5,1485.0,Lubrication,4.299,60.8,304.9,171.6,70.8,103.2,75.5,169.0,5.627,0.89,381.1,178739,0,0.4043,12749.8,Normal,Normal
2023-01-02 21:00:00,Cold_Rolling_Mill_03,Cold Rolling Mill,4573.7,568.0,Alignment Check,1.785,62.1,802.1,186.7,97.1,108.9,77.6,368.6,1.898,0.953,503.3,78685,1,0.1434,28782.8,Normal,Normal
2023-01-03 00:00:00,Rolling_Mill_02,Rolling Mill,4390.0,1375.0,Lubrication,1.605,90.5,832.1,192.2,83.7,114.3,72.5,427.2,1.533,0.927,456.3,37223,1,0.1285,35472.2,Normal,Normal
2023-01-03 01:00:00,Pickling_Line_03,Pickling Line,21722.9,871.0,Seal Replacement,6.158,63.2,316.9,176.3,43.6,87.5,84.0,170.9,0.696,0.859,272.7,236715,1,0.6528,7508.9,Thermal Degradation,Warning
2023-01-03 04:00:00,Ladle_Crane_03,Ladle Crane,23676.1,1719.0,Full Overhaul,6.815,59.7,384.1,170.7,42.1,83.3,83.5,188.2,1.377,0.861,254.4,278088,3,0.7313,25807.2,Bearing Failure,Normal
2023-01-03 05:00:00,Hydraulic_Press_03,Hydraulic Press,27228.9,12.0,Bearing Replacement,7.266,79.0,245.8,167.5,40.8,85.0,78.2,127.7,4.768,0.858,257.8,454242,9,0.723,0.0,Thermal Degradation,Immediate Action
2023-01-03 07:00:00,Continuous_Caster_03,Continuous Caster,19528.2,1047.0,Lubrication,5.834,103.7,688.9,180.4,53.9,94.8,77.8,336.8,3.039,0.877,318.7,342868,4,0.5569,14618.8,Lubrication Failure,Normal
2023-01-03 08:00:00,Rolling_Mill_02,Rolling Mill,22637.0,1363.0,Lubrication,5.967,99.3,994.5,166.7,44.1,96.2,79.6,515.3,9.62,0.9,298.1,350892,4,0.6163,15969.8,Mechanical Wear,Normal
2023-01-03 10:00:00,Hydraulic_Press_01,Hydraulic Press,571.8,794.0,Full Overhaul,0.506,73.6,201.7,201.8,97.7,125.1,73.4,104.1,0.716,0.952,512.5,6848,0,0.0,19425.2,Normal,Normal
2023-01-03 12:00:00,Cold_Rolling_Mill_03,Cold Rolling Mill,5759.8,947.0,Full Overhaul,1.955,63.9,750.5,192.0,84.8,116.5,73.9,386.8,0.196,0.946,473.8,64157,0,0.162,29351.9,Normal,Normal
2023-01-03 12:00:00,Rolling_Mill_01,Rolling Mill,34473.5,480.0,Electrical Inspection,9.306,96.1,1091.9,163.4,21.1,76.7,88.5,564.9,2.634,0.854,178.9,440014,4,1.0,5922.3,Bearing Failure,Critical
2023-01-03 14:00:00,Ladle_Crane_03,Ladle Crane,2752.2,835.0,Electrical Inspection,1.409,43.6,324.5,198.3,87.2,115.8,73.0,162.4,1.771,0.923,491.7,36525,0,0.1032,46689.0,Normal,Normal
2023-01-03 16:00:00,Annealing_Furnace_02,Annealing Furnace,23789.7,1842.0,Full Overhaul,6.471,139.1,435.0,177.4,51.7,82.6,83.1,235.4,3.459,0.884,276.9,360018,4,0.6599,9625.3,Electrical Fault,Normal
2023-01-03 18:00:00,Pickling_Line_01,Pickling Line,6245.3,769.0,Lubrication,1.592,56.6,292.1,191.8,83.4,114.5,71.8,141.4,0.133,0.941,455.6,100749,0,0.128,21383.7,Normal,Normal
2023-01-03 18:00:00,Hydraulic_Press_02,Hydraulic Press,25113.5,1977.0,Seal Replacement,6.669,74.0,252.1,168.9,52.9,88.0,81.3,123.0,3.836,0.882,294.7,314851,3,0.6853,0.0,Thermal Degradation,Immediate Action
2023-01-03 19:00:00,Ladle_Crane_03,Ladle Crane,24739.1,931.0,Lubrication,6.269,60.3,376.5,176.5,46.9,93.5,81.8,190.5,2.894,0.862,337.8,233554,2,0.613,26155.4,Bearing Failure,Normal
2023-01-03 19:00:00,Annealing_Furnace_01,Annealing Furnace,8273.5,1241.0,Electrical Inspection,2.194,121.0,402.1,185.6,93.1,113.9,74.1,203.1,0.231,0.941,455.1,109820,0,0.1769,24644.5,Normal,Normal
2023-01-03 21:00:00,Hot_Strip_Mill_02,Hot Strip Mill,9510.2,9.0,Lubrication,2.871,94.5,980.0,202.4,78.9,108.3,75.3,477.8,0.699,0.89,426.8,117346,0,0.2166,30176.6,Normal,Normal
2023-01-03 23:00:00,Annealing_Furnace_03,Annealing Furnace,22951.5,374.0,Bearing Replacement,6.89,129.4,452.1,180.1,48.3,91.1,82.6,225.9,2.436,0.822,259.1,200064,4,0.698,8823.0,Thermal Degradation,Warning
2023-01-04 02:00:00,Annealing_Furnace_03,Annealing Furnace,13714.0,711.0,Bearing Replacement,4.523,127.0,414.9,174.9,63.5,99.8,80.1,206.8,0.182,0.898,386.9,143520,1,0.434,17902.7,Normal,Normal
2023-01-04 03:00:00,Ladle_Crane_01,Ladle Crane,6889.7,656.0,Bearing Replacement,3.255,50.9,346.8,189.0,76.1,103.8,76.6,175.7,0.409,0.918,415.6,89425,4,0.3033,40239.4,Normal,Normal
